"id","address","raw_state","state","stage","notes","created_date","modified_date","priority","country_id","org_id","proposal_sent_date","is_lite"
2133406836,,CO,CO,"0",-,2025-11-01 01:53:11.118,2025-11-01 01:53:15.161,2,107,76505478,,false
2133412182,,CO,CO,"0",,2025-11-01 01:53:16.144,2025-11-10 19:13:59.794,2,234,14075715,2025-11-01 02:13:23.058,false
2133417528,,NSW,NSW,"0",,2025-11-01 01:53:37.833,2025-11-01 01:53:37.895,2,14,10150203,,false
2133422874,,VIC,VIC,"0",,2025-11-01 01:54:56.589,2025-11-01 01:59:45.210,2,14,1986733,2025-11-01 01:59:45.284,false
2133433566,,WA,WA,"0",,2025-11-01 01:56:21.176,2025-11-01 02:06:39.805,2,14,448902,,true
2133438912,,QLD,QLD,"0",,2025-11-01 01:56:45.982,2025-11-01 02:06:07.168,2,14,1490208,2025-11-01 02:06:08.290,false
2133444258,,WA,WA,"0",,2025-11-01 01:57:27.533,2025-11-01 01:57:27.677,2,14,2096504,,false
2133454950,,VIC,VIC,"0",,2025-11-01 01:57:58.936,2025-11-03 06:45:38.494,2,14,66520320,,true
2133460296,,NSW,NSW,"0",,2025-11-01 01:58:11.100,2025-11-01 02:36:32.295,2,14,66331518,,true
2133481680,,VIC,VIC,"0",,2025-11-01 02:01:29.543,2025-11-10 01:34:45.849,2,14,3907235,2025-11-02 22:23:13.540,false
2133487026,,QLD,QLD,"0",,2025-11-01 02:01:38.438,2025-11-01 02:56:04.399,2,14,880320,2025-11-01 02:19:14.771,true
2133492372,,WA,WA,"0",,2025-11-01 02:02:01.925,2025-11-01 02:03:31.306,2,14,820692,,true
2133497718,,VIC,VIC,"0",,2025-11-01 02:02:20.519,2025-11-01 02:06:57.189,2,14,2166955,2025-11-01 02:06:57.263,false
2133508410,,SA,SA,"0",,2025-11-01 02:02:36.814,2025-11-01 02:08:52.450,2,14,1192482,,true
2133513756,,WA,WA,"0",,2025-11-01 02:03:09.526,2025-11-01 02:18:32.849,2,14,374544,,true
2133519102,,,,"0",,2025-11-01 02:03:28.679,2025-11-03 03:46:23.040,2,,34762800,,false
2133524448,,SA,SA,"0",,2025-11-01 02:03:55.061,2025-11-02 19:06:58.429,2,14,31676511,,false
2133529794,,,,"0",-,2025-11-01 02:04:16.380,2025-11-01 02:04:16.639,2,14,5971245,,false
2133535140,,NSW,NSW,"0",,2025-11-01 02:05:45.939,2025-11-01 04:28:57.246,2,14,59355476,,true
2133540486,,FL,FL,"0",,2025-11-01 02:06:06.094,2025-11-22 18:17:22.726,2,234,67561728,,false
2133545832,,NSW,NSW,"0",,2025-11-01 02:06:13.906,2025-11-01 02:06:13.975,2,14,7687586,,false
2133551178,,VIC,VIC,"0",,2025-11-01 02:06:23.057,2025-11-01 02:06:23.134,2,14,7965945,,false
2133556524,,CA,CA,"0",,2025-11-01 02:06:27.847,2025-11-01 02:06:27.906,2,234,6340645,,false
2133567216,,ST THOMAS,ST THOMAS,"0",,2025-11-01 02:06:31.667,2025-11-01 02:06:31.730,2,236,24013819,,false
2133572562,,VIC,VIC,"0",-,2025-11-01 02:07:03.026,2025-11-20 21:52:26.709,2,14,592416,2025-11-20 21:52:20.853,false
2133577908,,QLD,QLD,"0",,2025-11-01 02:07:16.755,2025-11-01 02:11:01.379,2,14,17547176,2025-11-01 02:11:15.191,true
2133583254,,TAS,TAS,"0",,2025-11-01 02:08:13.903,2025-11-03 08:23:14.582,2,14,726235,2025-11-03 08:12:01.085,false
2133588600,,TASMANIA,TASMANIA,"0",,2025-11-01 02:08:36.741,2025-11-02 21:23:32.610,2,14,5588954,,false
2133593946,,,,"0",,2025-11-01 02:08:44.586,2025-11-01 02:08:45.284,2,232,9054175,,false
2133599292,,TAS,TAS,"0",,2025-11-01 02:08:56.388,2025-11-03 07:08:00.107,2,14,8633576,2025-11-03 03:31:34.280,false
2133604638,,ACT,ACT,"0",,2025-11-01 02:09:03.933,2025-11-01 02:23:45.859,2,14,2256453,2025-06-30 05:11:09.706,false
2133615330,,SA,SA,"0",,2025-11-01 02:09:22.171,2025-11-01 02:11:42.499,2,14,70010861,2025-11-12 05:17:54.590,true
2133620676,,ACT,ACT,"0",,2025-11-01 02:09:32.909,2025-11-07 07:21:00.088,2,14,228430,2025-11-07 07:21:00.170,false
2133631368,,จ.ชลบุรี,จ.ชลบุรี,"0",,2025-11-01 02:10:35.175,2025-11-06 01:19:26.898,2,217,85752624,2025-11-01 04:05:28.209,false
2133636714,,VIC,VIC,"0",,2025-11-01 02:10:58.769,2025-11-01 02:13:14.607,2,14,1415556,,true
2133642060,,NSW,NSW,"0",,2025-11-01 02:12:12.754,2025-11-02 23:18:37.390,2,14,11446025,2025-11-02 23:18:37.526,false
2133658098,,VIC,VIC,"0",,2025-11-01 02:15:08.440,2025-11-06 03:36:24.477,2,14,85498176,,true
2133663444,,NSW,NSW,"0",,2025-11-01 02:15:19.322,2025-11-05 02:48:06.957,2,14,2366000,2025-11-01 02:33:31.975,false
2133668790,,NSW,NSW,"0",,2025-11-01 02:15:51.250,2025-11-05 06:45:15.298,2,14,1316096,2025-11-05 01:46:23.044,true
2133679482,,CA,CA,"0",,2025-11-01 02:16:26.223,2025-11-01 02:32:38.087,2,234,21392332,2025-11-01 02:32:38.188,false
2133684828,,QLD,QLD,"0",,2025-11-01 02:16:42.379,2025-11-01 04:08:25.453,2,14,2815965,2025-11-01 02:44:35.398,false
2133690174,,KS,KS,"0",,2025-11-01 02:17:38.487,2025-11-01 06:53:04.062,2,234,30056074,,false
2133695520,,CA,CA,"0",,2025-11-01 02:18:06.406,2025-11-01 02:22:02.829,2,234,6280008,,false
2133700866,,QLD,QLD,"0",,2025-11-01 02:19:06.059,2025-11-01 02:24:46.370,2,14,1310760,2025-11-01 02:24:18.920,false
2133706212,,WA,WA,"0",,2025-11-01 02:19:18.026,2025-11-01 02:37:28.904,2,14,11288904,2025-11-01 02:37:29.040,false
2133722250,,NSW,NSW,"0",,2025-11-01 02:20:47.154,2025-11-01 03:52:21.744,2,14,462189,2025-11-01 03:33:46.649,false
2133727596,,NSW,NSW,"0",,2025-11-01 02:21:26.337,2025-11-21 01:12:16.565,2,14,7965945,2025-11-01 05:14:57.458,false
2133732942,,GA,GA,"0",,2025-11-01 02:22:53.320,2025-11-01 02:22:53.423,2,,1670879,,false
2133743634,,QLD,QLD,"0",,2025-11-01 02:23:31.089,2025-11-01 02:41:32.354,2,14,24453324,,true
2133748980,,CA,CA,"0",,2025-11-01 02:24:26.665,2025-11-02 13:48:14.584,2,234,4125408,,false
